mode,epoch,n_valid,min,max,mean,median
0,7,1,0,11,1.0638297872340425,0.0
0,7,2,0,53,1.711536010197578,0.0
0,7,3,0,44,2.6039605683311144,2.0
0,7,4,0,58,4.351862777094369,3.0
0,7,5,0,71,6.960931505668348,5.0
0,7,6,0,85,10.227120679391875,8.0
0,7,7,0,102,12.716042108620698,11.0
0,7,8,0,100,13.905859160243006,12.0
0,7,9,0,114,16.15874156179725,14.0
0,7,10,0,125,19.230670054226234,17.0
0,7,11,0,144,22.768784220970097,21.0
0,7,12,0,144,26.705281011658656,24.0
0,7,13,0,158,30.571144522124936,28.0
0,7,14,0,153,35.01654138298561,33.0
1,7,1,nan,nan,nan,nan
1,7,2,0,2,0.8,1.0
1,7,3,0,12,2.2125984251968505,2.0
1,7,4,0,21,3.946875,3.0
1,7,5,0,35,6.453389830508475,5.0
1,7,6,0,42,9.203781512605042,7.0
1,7,7,0,49,11.137559002022927,9.0
1,7,8,0,51,12.091217855409996,10.0
1,7,9,0,64,13.379164463246958,12.0
1,7,10,0,63,15.509541284403669,14.0
1,7,11,0,80,17.90346133044889,16.0
1,7,12,0,118,20.6540452192863,19.0
1,7,13,0,94,23.730838709677418,22.0
1,7,14,0,99,27.26027397260274,25.5
0,8,1,0,5,0.5957446808510638,0.0
0,8,2,0,32,1.38546845124283,0.0
0,8,3,0,44,2.266268173631594,1.0
0,8,4,0,57,3.802258805513017,3.0
0,8,5,0,70,6.052271649640071,4.0
0,8,6,0,86,8.914544596935487,7.0
0,8,7,0,89,11.168362968513465,9.0
0,8,8,0,103,12.216978705882623,10.0
0,8,9,0,108,14.286466949891683,12.0
0,8,10,0,131,17.154194716465987,15.0
0,8,11,0,128,20.549932263575332,18.0
0,8,12,0,159,24.44674069295726,22.0
0,8,13,0,157,28.40274860091088,26.0
0,8,14,0,143,33.06997466204341,31.0
1,8,1,nan,nan,nan,nan
1,8,2,0,3,1.0,1.0
1,8,3,0,11,1.0708661417322836,0.0
1,8,4,0,12,1.659375,1.0
1,8,5,0,23,3.542372881355932,2.0
1,8,6,0,30,5.290966386554622,4.0
1,8,7,0,38,7.279838165879973,6.0
1,8,8,0,48,7.875303250849102,6.0
1,8,9,0,46,9.973030142781598,9.0
1,8,10,0,61,13.037614678899082,12.0
1,8,11,0,66,17.090319091400758,16.0
1,8,12,0,91,22.187142467992373,21.0
1,8,13,0,90,27.27174193548387,26.0
1,8,14,0,85,34.13972602739726,32.0
0,9,1,0,9,0.7872340425531915,0.0
0,9,2,0,41,1.1469725940089228,0.0
0,9,3,0,44,2.022134634961238,1.0
0,9,4,0,55,3.4415999297065247,2.0
0,9,5,0,72,5.476527005474374,4.0
0,9,6,0,75,8.08196101694566,6.0
0,9,7,0,80,10.19225253527616,9.0
0,9,8,0,102,11.116484365834639,9.0
0,9,9,0,114,13.049341944023942,11.0
0,9,10,0,119,15.76355602173056,14.0
0,9,11,0,128,19.02345528848201,17.0
0,9,12,0,132,22.83416725288964,21.0
0,9,13,0,155,26.807568525956675,24.0
0,9,14,0,154,31.659011847814778,29.0
1,9,1,nan,nan,nan,nan
1,9,2,0,4,1.7,2.0
1,9,3,0,9,1.5196850393700787,1.0
1,9,4,0,16,2.884375,2.0
1,9,5,0,27,5.375,4.0
1,9,6,0,42,7.723739495798319,6.0
1,9,7,0,44,9.95751854349292,9.0
1,9,8,0,54,10.960698689956331,10.0
1,9,9,0,65,13.072712850343734,11.5
