mode,epoch,n_valid,min,max,mean,median
0,3,3,0,14,0.0618147315153219,0.0
0,3,4,0,30,0.19800155951302947,0.0
0,3,5,0,53,0.6915319526499167,0.0
0,3,6,0,55,1.338471549001116,0.0
0,3,7,0,76,2.230299249977226,0.0
0,3,8,0,94,2.515173681653564,0.0
0,3,9,0,104,3.302275550990447,1.0
0,3,10,0,132,4.4418984227752345,2.0
0,3,11,0,144,6.545809660075973,3.0
0,3,12,0,166,10.710260076023634,7.0
0,3,13,0,175,16.520529916746415,13.0
0,3,14,0,143,25.161985948058703,22.0
1,3,1,0,0,0.0,0.0
1,3,2,0,0,0.0,0.0
1,3,3,0,2,0.0234375,0.0
1,3,4,0,6,0.16666666666666666,0.0
1,3,5,0,14,0.6444444444444445,0.0
1,3,6,0,26,1.2282958199356913,0.0
1,3,7,0,29,2.155878467635403,0.0
1,3,8,0,47,2.4626593806921675,0.0
1,3,9,0,45,3.135575126768081,1.0
1,3,10,0,62,4.390608132421734,2.0
1,3,11,0,74,6.293599449415003,3.0
1,3,12,0,85,10.453512255237573,7.0
1,3,13,0,89,16.51091142490372,13.0
1,3,14,0,111,24.77207977207977,21.0
0,4,1,0,0,0.0,0.0
0,4,2,0,3,0.0076706724622858605,0.0
0,4,3,0,20,0.056121731796457686,0.0
0,4,4,0,42,0.20186890029177987,0.0
0,4,5,0,55,0.7011750957605661,0.0
0,4,6,0,63,1.3702459836669811,0.0
0,4,7,0,66,2.3600666012125875,0.0
0,4,8,0,97,2.6049791317021462,0.0
0,4,9,0,106,3.5039677537331433,1.0
0,4,10,0,130,4.644470411114562,2.0
0,4,11,0,146,6.804367955235283,4.0
0,4,12,0,163,11.368144823660375,8.0
0,4,13,0,149,17.66964354615432,14.0
0,4,14,0,163,26.705613786894734,23.0
1,4,1,0,0,0.0,0.0
1,4,2,0,0,0.0,0.0
1,4,3,0,3,0.0703125,0.0
1,4,4,0,2,0.10666666666666667,0.0
1,4,5,0,18,0.5577777777777778,0.0
1,4,6,0,40,1.2958199356913183,0.0
1,4,7,0,31,2.288639365918098,0.0
1,4,8,0,44,2.5040983606557377,0.0
1,4,9,0,62,3.250333600213504,1.0
1,4,10,0,75,4.755307664627564,2.0
1,4,11,0,82,6.988162422573985,4.0
1,4,12,0,84,12.058332192249761,8.0
1,4,13,0,116,19.305776636713734,15.0
1,4,14,0,118,28.245014245014247,25.0
0,5,1,0,0,0.0,0.0
0,5,2,0,4,0.005625159805676298,0.0
0,5,3,0,21,0.05092071970761878,0.0
0,5,4,0,28,0.2022399134721803,0.0
0,5,5,0,48,0.7136531844445887,0.0
