mode,epoch,n_valid,min,max,mean,median
1,3,2,0,39,8.538116591928251,7.0
1,3,3,0,47,11.167535545023696,10.0
1,3,4,0,62,16.408214971209212,15.0
1,3,5,0,73,21.55488158658157,20.0
1,3,6,0,90,28.001159654120553,27.0
1,3,7,0,100,32.82210741354808,32.0
1,3,8,0,115,34.28914650904094,34.0
1,3,9,0,114,37.20464087346424,36.0
1,3,10,0,133,41.03749305789058,40.0
1,3,11,0,138,45.02565399742154,44.0
1,3,12,0,139,49.33170944705784,49.0
1,3,13,0,149,53.13057161807846,52.0
1,3,14,0,156,56.46257768766254,56.0
0,4,1,0,10,1.6041666666666667,1.0
0,4,2,0,41,3.606752982990607,2.0
0,4,3,0,50,4.8074072783955835,4.0
0,4,4,0,78,7.914655301986523,6.0
0,4,5,0,88,12.179427115439937,10.0
0,4,6,0,96,17.215367529102053,15.0
0,4,7,0,117,20.78016175287923,19.0
0,4,8,0,125,22.480468324284356,20.0
0,4,9,0,127,25.299038215219504,23.0
0,4,10,0,139,28.931175323418955,27.0
0,4,11,0,164,32.78650806813039,31.0
0,4,12,0,165,36.870039608701475,35.0
0,4,13,0,177,40.60373024447045,39.0
0,4,14,0,173,44.70956780380355,43.0
1,4,1,nan,nan,nan,nan
1,4,2,0,25,3.7354260089686098,3.0
1,4,3,0,43,5.216113744075829,5.0
1,4,4,0,61,8.043685220729367,7.0
1,4,5,0,61,12.037660214146316,10.0
1,4,6,0,72,16.274762396954646,14.0
1,4,7,0,86,19.44316970630033,17.0
1,4,8,0,101,20.75625449865858,19.0
1,4,9,0,101,22.98095243758846,21.0
1,4,10,0,115,26.518850424460403,25.0
1,4,11,0,125,30.81384532532598,29.0
1,4,12,0,131,35.45237629819934,34.0
1,4,13,0,143,40.010487751677104,39.0
1,4,14,0,139,45.589081853043595,44.0
0,5,1,0,8,0.9791666666666666,0.5
0,5,2,0,37,2.6136075145976134,1.0
0,5,3,0,51,3.7369571464648663,3.0
0,5,4,0,73,6.243458628723165,5.0
0,5,5,0,87,9.905015281391742,8.0
